account_id,city,state,region
755684804668,GONGJUSI,CHUNGCHEONGNAMDO,chungnam
800156155270,남구,부산시,jeonnam
952642364580,ULSAN,KOREA,gyeongnam
562696981637,GONGJU,,chungnam
425555713708,BUSAN,BUSAN,gyeongnam
607333380097,GYEONGSANSI,GYEONGSANGBUKDO,gyeongbuk
141003152179,UICHANGGU,CHANGWONSI,gyeongnam
508048097905,SEOGU,GWANGJU,jeonnam
383236977254,공주시,공주시,chungnam
746558391379,YUSEONGGU,DAEJEON,chungnam
576816941891,JEJUSI,"JEJUDO,REP.OFKOREA",jeju
282718278118,NAMGU,ULSAN,gyeongnam
40315520605,춘천시,강원도,gangwon
98333985463,대전,유성구,chungnam
373818216294,GYEONGSANSI,GYEONGSANGBUKDO,gyeongbuk
438468493720,유성구,대전광역시,chungnam
580494345613,"CHUNGCHEONGNAMDO,",REPUBLICOFKOREA,chungnam
16140803193,GUMISI,GYEONGSANGBUKDO,gyeongbuk
349611504912,DAEJEON,KOREA/DAEJEON,chungnam
4576982359,SEOGU,GWANGJU,jeonnam
724052176717,HAEUNDAEGU,BUSAN,gyeongnam
374652661326,DAEJEON,SEOGU,chungnam
479990581491,POHANGSI,GYUNGSANGBOOKDO,gyeongbuk
556912145495,BUSAN,BUSAN,gyeongnam
27903342702,BUSAN,BUSAN,gyeongnam
744562271791,BUSAN,HAEUNDAEGU,gyeongnam
260147219477,DALSUNGGUN,DEAGU,gyeongbuk
641864831927,군산시,전라북도,jeonbuk
573759923508,부산광역시,,gyeongnam
4991243042,GUMISI,GYEONGSANGBUKDO,gyeongbuk
475968024836,BUSAN,BUSAN,gyeongnam
909489928170,GWANGJU,JEOLLANAMDO,jeonnam
264258397634,부산진구,부산광역시,gyeongnam
383570723961,ASANDIGITAL1RO,REPUBLICOFKOREA,chungnam
400857539108,JEONJUSI,JEOLLABUKDO,jeonbuk
405994076876,HAEUNDAEGU,"BUSAN,REPUBLICOFKOREA",gyeongnam
748295793260,HAEUNDAEGU,BUSAN,gyeongnam
880838245691,BUKGU,DAEGU,jeonnam
73015384570,HAEUNDAEGU,BUSAN,gyeongnam
784707224750,SASANGGU,"BUSAN,REPUBLICOFKOREA",chungnam
848366060931,JEOLLANAMDO,YEONGGWANGGUN,jeonnam
128634678559,부산광역시,남구,jeonnam
172795051914,CHEONGJUSI,CHUNGCHEONGBUKDO,chungbuk
256926525729,DAEGU,DAEGU,gyeongbuk
603424733166,DAEDEOKGU,DAEJEON,chungnam
508791870823,YOOSUNGGU,DAJEON,chungnam
324903285654,"SEONGSANGU,CHANGWONSI",GYEONGSANGNAMDO,gyeongnam
341081934155,HAEUNDAEGU,BUSAN,gyeongnam
998211925864,CHANGWONSI,GYEONGSANGNAMDO,gyeongnam
199147023459,DAEGU/DONGGU,DAEGU,chungnam
555966951546,CHEONANSI,CHUNGCHEONGNAMDO,chungnam
740852091890,ULSAN,NAMGU,gyeongnam
354556130749,SEOGU,GWANGJU,jeonnam
548685459141,"JEUNGPYEONGEUP,JEUNGPYEONGGUN",CHUNGCHEONGBUKDO,chungbuk
241033837884,BUKGU,GWANGJU,jeonnam
515236936047,BUKGU,DAEGU,jeonnam
86849521175,GYEONGSANSI,GYEONGSANGBUKDO,gyeongbuk
149904321413,PUSAN,PUSAN,gyeongnam
572769988339,"GEUMJEONGGU,BUSAN",REPUBLICOFKOREA,gyeongnam
593594206625,SEOGU,DAEJEON,chungnam
622304646682,HAEUNDAEGU,BUSAN,gyeongnam
38037849142,BUSANJINGU,BUSAN,gyeongnam
411668413629,DAEGU,DAEGU,gyeongbuk
118430093716,"JEJUSI,","JEJUDO,",jeju
267800590906,YUSEONGGU,DAEJEON,chungnam
952984375244,KANG,BUSAN,gyeongnam
387267199038,GIMHAESI,GYEONGSANGNAMDO,gyeongnam
253078327476,DEAGU,KOREA,gyeongbuk
685930567154,광주,광주,jeonnam
73592146197,GONGJUSI,CHUNGCHEONGNAMDO,chungnam
195487813175,전주시,전라북도,jeonbuk
274701164444,DAEGU,DAEGU,gyeongbuk
509125957593,CHEONGJUSI,HEUNGDEOKGU,chungbuk
571854834073,GYEONGSANGNAMDO,HADONGGUN,chungnam
375442000859,BUSAN,BUSAN,gyeongnam
759542052162,DAEGU,BUKGU,jeonnam
193277365573,NAMGU,"DAEGU,KOREA",gyeongbuk
165098537391,GORYEONGGUN,GYEONGSANGBUKDO,gyeongbuk
804588996950,GONGJUSI,CHUNGCHEONGNAMDO,chungnam
607884780935,BUSAN,REPUBLICOFKOREA,gyeongnam
110352915740,알뜰폰,BUSAN,gyeongnam
197048283666,YUSEONGGU,DAEJEON,chungnam
52200829200,BUSAN,BUSAN,gyeongnam
152459804842,BUSAN,BUSAN,gyeongnam
867633406088,대구,대구,gyeongbuk
570717451218,DAEJEON,DAEJEON,chungnam
44606193969,BUKGU,GWANGJU,jeonnam
445267921174,GIMHAES,GYEONGSANGNAMDO,gyeongnam
574638304853,DAEGU,DALSOEGU,gyeongbuk
376618382071,ULJUGUN,ULSAN,gyeongnam
517016073099,HAEUNDAEGU,BUSAN,gyeongnam
